KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.ARS.EUR.SP00.A,D,ARS,EUR,SP00,A,2020-10-30,91.5953
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,2026-09-14,1.6202
EXR.D.BGN.EUR.SP00.A,D,BGN,EUR,SP00,A,2025-12-31,1.9558
EXR.D.BRL.EUR.SP00.A,D,BRL,EUR,SP00,A,2026-09-14,5.9564
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2026-09-14,1.6041
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2026-09-14,0.9431
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-09-14,7.7489
EXR.D.CYP.EUR.SP00.A,D,CYP,EUR,SP00,A,2007-12-31,0.585274
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-09-14,24.294
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,2026-09-14,7.4753
EXR.D.DZD.EUR.SP00.A,D,DZD,EUR,SP00,A,2020-10-30,151.4382
