KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2026-09-08,0.9425
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2026-09-09,0.9404
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2026-09-10,0.9432
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2026-09-11,0.9451
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-08,0.8574
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-09,0.85898
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-10,0.85915
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,2026-09-11,0.85815
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2026-09-08,179.2
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2026-09-09,178.59
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2026-09-10,179.09
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2026-09-11,178.56
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-08,1.1614
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-09,1.1652
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-10,1.1616
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-09-11,1.1592
